question,Group,document
Cristiano Ronaldo đã trở thành chân sút hàng đầu tại những giải đấu quốc gia nào ở châu Âu?,General,bfc01c8d
"Ngoài Tây Ban Nha, Ronaldo còn thi đấu thành công ở các giải đấu quốc gia khác ở châu Âu không?",General,bfc01c8d
Giải đấu quốc gia nào ở trên đã xem Ronaldo là chân sút hàng đầu?,General,bfc01c8d
Bao nhiêu giải đấu quốc gia hàng đầu ở châu Âu mà Ronaldo ghi bàn?,General,bfc01c8d
Phiến quân Houthi đang đe dọa tấn công thủ đô của quốc gia nào?,General,448b636b
Phiến quân Houthi đã gia tăng hoạt động quân sự ở đâu?,General,448b636b
Các Tiểu vương quốc Arab thống nhất hiện đang bị đe dọa bởi ai?,General,448b636b
UAE đang đối mặt với mối đe dọa từ ai?,General,448b636b
Saudi Arabia đang thực hiện những biện pháp gì đối phó với phiến quân Houthi?,General,448b636b
Dung lượng pin của iPhone X cao hơn iPhone 8 bao nhiêu mAh?,General,163963df
iPhone 8 Plus có dung lượng pin lớn hơn hay nhỏ hơn iPhone X?,General,163963df
iPhone X được so sánh về dung lượng pin với những mẫu iPhone nào?,General,163963df
Nguồn thông tin về dung lượng pin của iPhone X là gì?,General,163963df
Dung lượng pin của iPhone 8 có bao nhiêu mAh?,General,163963df
Ai là các ứng cử viên của giải thưởng Fair-play bóng đá Việt Nam năm 2017?,General,0a6ba01a
Nguyễn Văn Toàn có được đề cử giải thưởng Fair-play nào?,General,0a6ba01a
Trong số các đề cử viên cho giải thưởng Fair-play bóng đá Việt Nam năm 2017 có ai là huấn luyện viên?,General,0a6ba01a
CLB nào được đề cử cho giải thưởng Fair-play bóng đá Việt Nam năm 2017?,General,0a6ba01a
Trần Thị Thùy Trang được đề cử giải thưởng gì năm 2017?,General,0a6ba01a
Tên lửa đạn đạo Bulava được triển khai trên loại phương tiện nào của Hải quân Nga?,General,444425c1
Hải quân Nga trang bị bao nhiêu ống phóng Bulava trên tàu ngầm lớp Borei?,General,444425c1
Bulava có khả năng mang bao nhiêu đầu đạn hạt nhân?,General,444425c1
Mỗi đầu đạn hạt nhân của tên lửa Bulava có công suất bao nhiêu?,General,444425c1
Bulava có loại đầu đạn hạt nhân gì?,General,444425c1
Sevilla vs Liverpool diễn ra ngày nào?,General,3a5bcd92
Bóng đá Sevilla vs Liverpool lúc mấy giờ theo giờ GMT?,General,3a5bcd92
Trận đấu Sevilla vs Liverpool được tổ chức tại đâu?,General,3a5bcd92
"Vào ngày 21/11, trận đấu Sevilla vs Liverpool diễn ra lúc mấy giờ?",General,3a5bcd92
Trận Sevilla vs Liverpool diễn ra tại sân vận động nào?,General,3a5bcd92
Tên lửa Zircon được phóng bởi nước nào?,General,73e98a2e
Vận tốc tối đa của tên lửa Zircon là bao nhiêu lần vận tốc âm thanh?,General,73e98a2e
Tên lửa Zircon có tốc độ nhanh gấp mấy lần ma tốc âm thanh?,General,73e98a2e
Tốc độ của tên lửa Zircon được so sánh với vận tốc âm thanh như thế nào?,General,73e98a2e
Zircon là loại tên lửa gì?,General,73e98a2e
Quả nào giàu chất xơ nhất?,General,a2fb6556
"Ngoài chuối, thực phẩm nào khác cung cấp nhiều chất xơ?",General,a2fb6556
Những loại hạt có lợi cho hệ tiêu hóa?,General,a2fb6556
Khoai lang cung cấp bao nhiêu gram chất xơ?,General,a2fb6556
Hạt lanh cung cấp bao nhiêu chất xơ?,General,a2fb6556
Pà Khốm có đường lên như thế nào?,General,fbf937fc
Đường lên Pà Khốm có khó đi không?,General,fbf937fc
Người ta thường tả đường lên Pà Khốm ra sao?,General,fbf937fc
Trên đường lên Pà Khốm có tính năng đặc biệt nào không?,General,fbf937fc
Chất lượng đường lên đỉnh Pà Khốm như thế nào?,General,fbf937fc
Có bao nhiêu cán bộ bị kỷ luật vì vi phạm trong việc tặng xe ô tô cho lãnh đạo Thành uỷ Đà Nẵng?,General,3024d8bb
Ông Phạm Văn Hải bị kỷ luật vì hành vi gì?,General,3024d8bb
Vì sao ông Đoàn Xuân Hiếu bị kỷ luật?,General,3024d8bb
Chức danh của ông Võ Văn Phụ là gì?,General,3024d8bb
Lãnh đạo Thành uỷ Đà Nẵng đã bị vi phạm điều gì?,General,3024d8bb
Máy bay T-50 thuộc loại máy bay chiến đấu gì?,General,678462ff
Máy bay T-50 có thể thực hiện nhiệm vụ cường kích không?,General,678462ff
"Ngoài nhiệm vụ tiêm kích, T-50 còn có thể làm gì?",General,678462ff
"Các nhiệm vụ tiêm kích, cường kích và do thám được thực hiện như thế nào trên máy bay T-50?",General,678462ff
T-50 có thể được sử dụng trong lĩnh vực nào?,General,678462ff
"Làng Phương La thuộc xã, huyện và tỉnh nào?",General,e486a7aa
Làng Mẹo có tên gọi khác là gì?,General,e486a7aa
Xã Thái Phương nằm ở huyện nào?,General,e486a7aa
Huyện Hưng Hà thuộc tỉnh nào?,General,e486a7aa
Làng Mẹo được biết đến với biệt danh gì ở Thái Bình?,General,e486a7aa
Tại sao Man United thường xuyên gây thất vọng người hâm mộ?,General,c1eda82d
Những khó khăn của Man United có liên quan đến phong cách huấn luyện của Mourinho?,General,c1eda82d
Mourinho đã thất bại ở Man City do những lý do gì?,General,c1eda82d
Thành công của Mourinho ở những năm gần đây ra sao?,General,c1eda82d
Mourinho có điểm yếu nào trong cách huấn luyện?,General,c1eda82d
Các em bé sơ sinh tại Bệnh viện Sản Nhi Bắc Ninh bị tử vong có liên quan đến vấn đề gì?,General,2e2169f8
Tại sao lại có nguy cơ nhiễm khuẩn ở bệnh viện? ,General,2e2169f8
Bệnh viện Sản Nhi Bắc Ninh có phải thừa sức lao động không?,General,2e2169f8
Những yếu tố nào có thể thúc đẩy hiện tượng nhiễm khuẩn? ,General,2e2169f8
ClientSize: nhiễm khuẩn bệnh viện gây tác động như thế nào đến trẻ sơ sinh ? ,General,2e2169f8
"Sau khi hết hạn hợp đồng với Gangwon FC, Xuân Trường có thể định hướng sự nghiệp thế nào?",General,6c911123
Có khả năng Xuân Trường chuyển sang thi đấu tại đâu sau khi rời Gangwon FC?,General,6c911123
Lí do tại sao phóng viên Thái Lan quan tâm đến tương lai của Xuân Trường?,General,6c911123
Thái League đang có những động thái gì liên quan đến việc chiêu mộ ngoại binh?,General,6c911123
Có cơ hội nào cho Xuân Trường thi đấu tại Thái League trong tương lai?,General,6c911123
Gía xe Suzuki Celerio vào tháng 3/2018 là bao nhiêu?,General,198daf6a
 Kia Morning có mức giá bao nhiêu vào cuối năm 2017?,General,198daf6a
Hyundai Grand i10 có mức giá rẻ nhất là bao nhiêu?,General,198daf6a
Hyundai Grand i10 đã được giảm giá bao nhiêu vào thời điểm tham khảo?,General,198daf6a
Tại sao Kia Morning có mức giá giảm?,General,198daf6a
Vị cán bộ xã nào tại huyện Krông Ana đã có hành vi dọn dẹp lòng lề đường gây tổn hại đến tài sản người dân?,General,2a0cf826
Hành vi dọn dẹp lòng lề đường gây thiệt hại tài sản cho người dân xảy ra ở huyện nào?,General,2a0cf826
Sự việc dọn dẹp lòng lề đường có gây tổn hại đến tài sản người dân ở xã Quảng Điền không?,General,2a0cf826
Tại tỉnh nào xảy ra sự việc dọn dẹp lòng lề đường dẫn đến hư hại hàng hóa?,General,2a0cf826
Người dân xã Quảng Điền bị thiệt hại tài sản như thế nào?,General,2a0cf826
Honda CR-V 2018 có bao nhiêu phiên bản?,General,775be04e
Phiên bản cao cấp nhất của Honda CR-V 2018 được gọi là gì?,General,775be04e
Giá bán dự kiến phiên bản cao cấp nhất Honda CR-V 2018 là bao nhiêu?,General,775be04e
Honda CR-V 2018 có giá bán ở mức tiền nào?,General,775be04e
"Có bao nhiêu phiên bản của Honda CR-V 2018 có giá bán dưới 1,1 tỷ đồng?",General,775be04e
Tại sao Tổng thống Zimbabwe Robert Mugabe lại không tuân theo văn bản phát biểu đã được thỏa thuận trước?,General,049ac602
Lý do gì khiến ông Mugabe không công bố từ chức trong thông điệp với quốc dân?,General,049ac602
Có những dấu hiệu nào cho thấy Tổng thống Mugabe cản trở việc tuyên bố từ chức?,General,049ac602
Điều gì đang diễn ra với Tổng thống Mugabe?,General,049ac602
Ông Mugabe đã đọc đúng bản ghi đã được chuẩn bị trước hay không?,General,049ac602
SEA Games bóng đá nữ diễn ra trong bao nhiêu ngày?,General,d6525ed0
Các đội tuyển tham dự SEA Games bóng đá nữ có bao nhiêu?,General,d6525ed0
Việt Nam là một trong những đội tuyển tham dự SEA Games bóng đá nữ?,General,d6525ed0
Bóng đá nữ SEA Games năm nay diễn ra vào tháng nào?,General,d6525ed0
Thái Lan có tham dự SEA Games bóng đá nữ không?,General,d6525ed0
Lexus NX mới có lưới tản nhiệt dạng nào?,General,1549e29b
Lexus NX mới được trang bị màn hình thông tin và giải trí có kích thước bao nhiêu inch?,General,1549e29b
NX 300h và NX 300 F Sport có điểm khác biệt nào về phần đầu xe?,General,1549e29b
Có những thay đổi ở phần đuôi xe Lexus NX mới?,General,1549e29b
Lexus NX mới sử dụng động cơ loại nào?,General,1549e29b
Huỳnh Thị Thuỳ Dung đại diện nước nào tham dự cuộc thi nào?,General,f55ad056
Huỳnh Thị Thuỳ Dung đạt giải gì ở cuộc thi Hoa hậu Việt Nam 2016?,General,f55ad056
"Ngoài vị trí Á hậu 2, Huỳnh Thị Thuỳ Dung còn nhận giải gì?",General,f55ad056
Năm Huỳnh Thị Thuỳ Dung đại diện Việt Nam tham dự Miss International?,General,f55ad056
Huỳnh Thị Thuỳ Dung là người đẹp tài năng trong cuộc thi Hoa hậu Việt Nam nào?,General,f55ad056
Sở dĩ Tuấn Anh không thể tham gia buổi tập đội tuyển U22 Việt Nam là do lý do gì?,General,326bd715
Trường hợp Đức Huy không góp mặt trong buổi tập là do chấn thương gì?,General,326bd715
Chuyên gia vật lý trị liệu nào đang điều trị cho Tuấn Anh?,General,326bd715
Cầu thủ Tuấn Anh bị chấn thương gì?,General,326bd715
Được biết Đức Huy bị chấn thương chỗ nào?,General,326bd715
HLV Claudio Ubeda đánh giá thế nào về năng lực của đội tuyển U.20 Việt Nam?,General,ffeae25b
HLV Claudio Ubeda kỳ vọng gì từ trận giao hữu sắp tới với U.20 Việt Nam?,General,ffeae25b
Tại sao HLV Claudio Ubeda coi trận giao hữu với U.20 Việt Nam là trận đấu quan trọng?,General,ffeae25b
U.20 Argentina sẽ tham dự giải đấu gì ở Hàn Quốc?,General,ffeae25b
Buổi giao hữu giữa U.20 Argentina và U.20 Việt Nam diễn ra trước thềm giải đấu nào?,General,ffeae25b
Triều Tiên đòi điều gì từ Hàn Quốc và Mỹ để tiến hành đàm phán quân sự?,General,5dc9824c
Khả năng Hàn Quốc và Mỹ  đàm phán quân sự với Triều Tiên phụ thuộc vào điều kiện gì?,General,5dc9824c
Triều Tiên yêu cầu Hàn Quốc trả lại ai?,General,5dc9824c
Lý do Triều Tiên yêu cầu Hàn Quốc trả 12 nhân viên phục vụ?,General,5dc9824c
"Theo quan điểm của Hàn Quốc, 12 nhân viên phục vụ đã làm gì?",General,5dc9824c
Hội đồng bóng đá quốc gia quy định bao nhiêu ngày nghỉ cho cầu thủ?,General,2209b484
"Trước trận đấu cuối cùng của vòng loại AFC Cup, cầu thủ được nghỉ bao nhiêu ngày?",General,2209b484
Thời gian nghỉ chơi của cầu thủ sau giải đấu quốc tế là bao nhiêu?,General,2209b484
"Màn trình diễn sau World Cup, cầu thủ được nghỉ ngơi bao lâu?",General,2209b484
Chính phủ quy định giải lao cho cầu thủ là bao nhiêu ngày?,General,2209b484
Các nước Ả-rập vùng Vịnh đang thảo luận về việc bổ sung những biện pháp gì đối với Doha?,General,9f4198d4
FOREIGN Minister UAE đã nhận xét như thế nào về việc bổ sung biện pháp trừng phạt Doha?,General,9f4198d4
Lãnh đạo UAE đưa ra tuyên bố về Doha vào thời điểm nào?,General,9f4198d4
Tại sao các nước Ả-rập vùng Vịnh muốn bổ sung các biện pháp trừng phạt Doha?,General,9f4198d4
"Ngoài việc bổ sung biện pháp trừng phạt, các nước Ả-rập vùng Vịnh có kế hoạch thực hiện những hành động khác đối với Doha không?",General,9f4198d4
Báo cáo nào của Underwriters Laboratories xếp hạng nền kinh tế Việt Nam thứ 6 về an toàn trong 10 nền kinh tế Đông Nam Á?,General,7719ea6b
Chỉ số an toàn của Việt Nam trong báo cáo Underwriters Laboratories là bao nhiêu?,General,7719ea6b
Việt Nam đứng thứ bao nhiêu về an toàn trong 10 nền kinh tế Đông Nam Á?,General,7719ea6b
Xuất bản viên nào công bố báo cáo về thông số an toàn của 10 nền kinh tế Đông Nam Á?,General,7719ea6b
Lĩnh vực nào được đánh giá an toàn trong báo cáo của Underwriters Laboratories?,General,7719ea6b
Số người bị thương trong vụ nổ ở siêu thị Nga là bao nhiêu?,General,451a6060
Vụ nổ ở siêu thị Nga đã gây ra thiệt hại gì?,General,451a6060
Có trường hợp tử vong nào trong vụ nổ siêu thị?,General,451a6060
Nguyên nhân gây ra vụ nổ ở siêu thị Nga là gì?,General,451a6060
Sự việc về vụ nổ siêu thị ở Nga đã được điều tra như thế nào?,General,451a6060
Philippines phản đối bởi vì sự việc gì?,General,1ab8c78a
Lý do Hội Nghề cá Việt Nam phản đối Philippines là gì?,General,1ab8c78a
Hội Nghề cá Việt Nam phản đối Philippines liên quan đến vụ việc gì?,General,1ab8c78a
Vụ việc nào khiến Hội Nghề cá Việt Nam không hài lòng với Philippines?,General,1ab8c78a
Có vụ việc gì trên biển khiến Việt Nam phản đối Philippines?,General,1ab8c78a
Công ty TNHH xăng dầu Hồng Đức ở Bến Tre bị xử lý vì hành vi gì?,General,18bab1e6
Hồng Đức ở Bến Tre phải nộp lại bao nhiêu tiền cho ngân sách nhà nước?,General,18bab1e6
Mức phạt mà Công ty TNHH xăng dầu Hồng Đức phải gánh chịu là bao nhiêu?,General,18bab1e6
Tại sao Công ty TNHH xăng dầu Hồng Đức lại bị phạt?,General,18bab1e6
Hành vi sai phạm của Công ty TNHH xăng dầu Hồng Đức đã dẫn đến hậu quả gì?,General,18bab1e6
Vòng loại World Cup 2018 diễn ra như thế nào với tuyển Italia?,General,0fd76553
HLV Giampiero Ventura có thể bị sa thải vì lý do gì?,General,0fd76553
Tại sao FIGC sẽ triệu tập cuộc họp?,General,0fd76553
Tính chất thất bại của Italia lần này như thế nào?,General,0fd76553
 hợp đồng của HLV Ventura với Italia kéo dài đến năm bao nhiêu?,General,0fd76553
Emmanuel Macron và Marine Le Pen là ai?,General,70559883
Ai là hai ứng viên tranh chức tổng thống Pháp?,General,70559883
Váy cử thứ hai tại Pháp sẽ diễn ra giữa hai ai?,General,70559883
Ông Macron và bà Le Pen có chức gì?,General,70559883
"Theo kết quả vòng bầu cử thứ nhất, ai sẽ bước vào vòng bầu cử thứ hai của cuộc bầu cử tổng thống Pháp?",General,70559883
Piaggio Medley đã bán được bao nhiêu xe tại Việt Nam?,General,63ee9c6e
Doanh số bán hàng trung bình của Piaggio Medley hàng tháng là bao nhiêu?,General,63ee9c6e
"Sau hơn một năm kể từ khi ra mắt, Piaggio Medley đã bán được bao nhiêu xe?",General,63ee9c6e
Kết quả bán hàng của Piaggio Medley tại thị trường Việt Nam như thế nào?,General,63ee9c6e
"Ngoài hơn 2.200 xe, có thông tin nào về doanh số bán xe Piaggio Medley không?",General,63ee9c6e
Hà Nội FC có thể vào vòng trong AFC Cup 2017 với kết quả nào?,General,3427d35d
Điều gì phải xảy ra để Hà Nội FC vào vòng trong dù hòa trận đấu?,General,3427d35d
Ceres cần kết quả như thế nào để ngăn Hà Nội FC vào vòng trong?,General,3427d35d
Việc Tampines Rovers thắng hay thua có ảnh hưởng gì tới Hà Nội FC?,General,3427d35d
Hà Nội FC cần thắng Felda United với tỷ số bao nhiêu để chắc chắn vào vòng trong?,General,3427d35d
Các tỉnh nào dự báo sẽ đón nhận bão số 2 vào đêm nay và sáng sớm ngày mai?,General,5f24b910
Thời gian dự báo bão số 2 đổ bộ vào đất liền?,General,5f24b910
Âm mưu đổ bộ của bão số 2 là gì?,General,5f24b910
Bão số 2 dự kiến ảnh hưởng đến khu vực nào?,General,5f24b910
Dự báo thời gian chính xác bão số 2 đổ bộ vào đất liền là lúc nào?,General,5f24b910
HMNZS Te Kaha có trang bị hệ thống tên lửa chống hạm không?,General,69bdbffc
Tầm phóng của tên lửa chống hạm được sử dụng bởi HMNZS Te Kaha là bao nhiêu?,General,69bdbffc
HMNZS Te Kaha có cách nào để tấn công tàu mặt nước khác bên cạnh trực thăng?,General,69bdbffc
Hệ thống vũ khí của HMNZS Te Kaha có điểm yếu gì khi đối phó với tàu mặt nước?,General,69bdbffc
Điều gì sẽ xảy ra nếu trực thăng SH-2G của HMNZS Te Kaha bị bắn hạ?,General,69bdbffc
Hiện tại phiến quân IS có động thái gì ở tỉnh Deir Ezzor?,General,c6a93c34
Có những thay đổi nào trong lãnh đạo quân sự của phiến quân IS ở Deir Ezzor?,General,c6a93c34
Vì sao phiến quân IS muốn đánh chiếm thị trấn Al-Shoulah?,General,c6a93c34
Kết quả chiến lược của phiến quân IS nhằm cắt đứt tuyến đường tiếp viện cho quân đội Syria ở Deir Ezzor là gì?,General,c6a93c34
 Quân đội Syria đã phản ứng như thế nào với chiến thuật mới của phiến quân IS?,General,c6a93c34
Liệu lỗ hổng bảo mật gần đây trên Xiaomi có ảnh hưởng đến người dùng đang sử dụng ứng dụng Mi Mover?,General,95bfaf88
Xiaomi cho rằng việc xác minh mật khẩu khi chuyển dữ liệu giữa hai thiết bị là không cần thiết trong trường hợp nào?,General,95bfaf88
Lo lắng của người dùng Xiaomi liên quan đến vấn đề gì khi sử dụng ứng dụng Mi Mover?,General,95bfaf88
Dữ liệu nào của người dùng Xiaomi có nguy cơ bị di chuyển khi sử dụng Mi Mover?,General,95bfaf88
"Ngoài dữ liệu hệ thống, những thông tin nào khác của người dùng Xiaomi có thể bị di chuyển khi sử dụng Mi Mover?",General,95bfaf88
Người phụ nữ bị sát hại là ai và ở đâu?,General,96da7d70
Nơi bắt giữ nghi can ?,General,96da7d70
Địa điểm xảy ra vụ án mạng là gì?,General,96da7d70
Nghi can sát hại người phụ nữ đó là ai?,General,96da7d70
Trong trung tâm thương mại nào nghi can đã bị bắt?,General,96da7d70
"Ngoài Techfest Hải Phòng 2017, sự kiện nào khác thu hút đông đảo thanh niên?",General,15a69e9b
Techfest Hải Phòng năm nào diễn ra vào ngày 8 tháng 9?,General,15a69e9b
Có bao nhiêu doanh nghiệp khởi nghiệp tham gia Techfest Hải Phòng 2017?,General,15a69e9b
Địa điểm tổ chức Techfest Hải Phòng 2017 là ở đâu?,General,15a69e9b
Techfest Hải Phòng là sự kiện gì?,General,15a69e9b
Bạn có biết những ứng dụng nào miễn phí trên iOS vào ngày 30/7 không?,General,d95e4565
Ứng dụng nào được miễn phí trên nền tảng iOS vào ngày 30/7?,General,d95e4565
Có thể kể tên những ứng dụng iOS miễn phí vào ngày 30/7 được không?,General,d95e4565
"Vào ngày 30/7, những ứng dụng máy tính bảng nào miễn phí?",General,d95e4565
Tiny Defense có phải là một trong những ứng dụng iOS miễn phí vào ngày 30/7 không?,General,d95e4565
Cụ thể có bao nhiêu vụ va chạm xảy ra giữa tàu chiến của Hải quân Mỹ và tàu dân sự?,General,29920069
"Ngoài vụ va chạm giữa USS Fitzgerald và tàu chở hàng Philippines, còn có vụ va chạm nào khác giữa tàu chiến Mỹ với tàu dân sự?",General,29920069
Bao nhiêu vụ va chạm giữa tàu chiến Nhật Bản và tàu dân sự đã được ghi nhận?,General,29920069
Tàu chiến của Nhật Bản va chạm với loại tàu dân sự nào ở biển Đảo Seto?,General,29920069
"Bên cạnh vụ va chạm giữa tàu chiến Nga và tàu chở hàng Togo, còn có vụ va chạm nào khác giữa tàu chiến nước ngoài với tàu dân sự?",General,29920069
Những mối đe dọa nào mà Mỹ muốn chống lại bằng các vụ thử vũ khí mới?,General,43d8bbc4
Mỹ đang phát triển chương trình phòng thủ tên lửa gì?,General,43d8bbc4
Mục đích của Mỹ trong việc tăng khả năng đánh chặn tên lửa đối phương là gì?,General,43d8bbc4
Các nước nào mà Mỹ muốn chống lại bằng vũ khí mới?,General,43d8bbc4
 Mỹ có sử dụng thử nghiệm vũ khí mới để tăng khả năng phòng thủ tên lửa không?,General,43d8bbc4
Cuộc đàm phán Hàn Quốc - Triều Tiên diễn ra vào ngày nào?,General,6b97b7d4
Thông điệp chính của cuộc đàm phán?,General,6b97b7d4
Triều Tiên dự định cử ai tham dự Thế vận hội mùa Đông?,General,6b97b7d4
Địa điểm tổ chức Thế vận hội mùa Đông?,General,6b97b7d4
Thời gian diễn ra Thế vận hội mùa Đông?,General,6b97b7d4
Nadal có khả năng bỏ giải Basel Open do chấn thương gì?,General,ca29397c
Trận thua Federer ở giải nào khiến Nadal có thể bỏ giải Basel Open?,General,ca29397c
Tại sao Nadal thường xuyên bị chấn thương đầu gối?,General,ca29397c
Khi nào giải Basel Open diễn ra?,General,ca29397c
Nadal có thể bỏ giải Basel Open vì lý do gì?,General,ca29397c
Lý do khiến Nissan phải triệu hồi 320.000 xe bán tải tại Nhật Bản?,General,ce53bfe4
Bộ phận nào trên xe Nissan gây nguy cơ chập cháy?,General,ce53bfe4
Nguyên nhân chập mạch trên xe Nissan là gì?,General,ce53bfe4
Tiêu chuẩn sơn phủ nào chưa được đáp ứng?,General,ce53bfe4
Nguy cơ gì mà Nissan phải triệu hồi xe? ,General,ce53bfe4
Võ sĩ Từ Hiểu Đông có phản ứng thế nào trước lời thách đấu của Yi Long?,General,76bd4f9b
Yếu tố nào khiến Từ Hiểu Đông xem thường Yi Long?,General,76bd4f9b
Từ Hiểu Đông có sẵn sàng thượng đài với Yi Long?,General,76bd4f9b
"Theo Từ Hiểu Đông, Yi Long nên làm gì nếu thiếu tiền?",General,76bd4f9b
Lời khuyên của Từ Hiểu Đông dành cho Yi Long là gì?,General,76bd4f9b
"Tại SEA Games, cầu thủ nào của U22 Thái Lan không thể tham gia thi đấu vì chấn thương?",General,2b2b13ef
Những cầu thủ nào của U22 Thái Lan gặp chấn thương trước SEA Games?,General,2b2b13ef
U22 Thái Lan có bao nhiêu cầu thủ bị chấn thương nghiêm trọng trước SEA Games?,General,2b2b13ef
"Ngoài thủ môn Rattanai Songsangchan ra, còn có những cầu thủ nào khác của U22 Thái Lan gặp chấn thương?",General,2b2b13ef
"Trường hợp của Chaiwat Buran, Suriya Singmui và Chenrop Samphaodi hiện tại là như thế nào?",General,2b2b13ef
De Bruyne quát tháo đồng đội nào trong trận đấu với Napoli?,General,ac8401d3
Khi nào De Bruyne có phản ứng với đồng đội?,General,ac8401d3
Lý do De Bruyne tỏ ra tức giận với đồng đội?,General,ac8401d3
Ai là trọng tài bàn trong trận đấu Man City gặp Napoli?,General,ac8401d3
De Bruyne phàn nàn về trọng tài ở hiệp mấy?,General,ac8401d3
Chelsea đang cân nhắc mua cầu thủ người nào?,General,d4551646
Câu lạc bộ Chelsea quan tâm đến cầu thủ của đội bóng nào?,General,d4551646
Bayer Leverkusen có thể bán cầu thủ Leon Bailey với giá bao nhiêu?,General,d4551646
Chelsea có dự định mua cầu thủ nào cho mùa giải tới?,General,d4551646
Giá lời đề nghị của Chelsea cho Leon Bailey là bao nhiêu?,General,d4551646
Pakistan được CIA xếp vào danh sách như vậy?,General,1ae654e7
"Theo báo cáo của Mỹ, Pakistan cung cấp 'nơi trú ẩn' cho ai?",General,1ae654e7
Nội dung của 'Báo cáo các nước về khủng bố' là gì?,General,1ae654e7
Mỹ đưa Pakistan vào danh sách cảnh báo nào?,General,1ae654e7
